player_id,name,position,team,adp
925,Adrian Peterson,RB,ARI,69.9
2439,Alvin Kamara,RB,NO,140.0
2293,Ameer Abdullah,RB,DET,53.0
1867,Bilal Powell,RB,NYJ,48.6
2071,CJ Anderson,RB,DEN,51.4
2364,CJ Prosise,RB,SEA,129.4
2129,Carlos Hyde,RB,SF,35.2
2339,Charcandrick West,RB,KC,160.7
2518,Chris Carson,RB,SEA,149.7
2434,Christian McCaffrey,RB,CAR,22.9
2432,Dalvin Cook,RB,MIN,27.5
1776,Danny Woodhead,RB,BAL,61.7
1341,Darren McFadden,RB,DAL,75.3
1105,Darren Sproles,RB,PHI,116.3
2297,David Johnson,RB,ARI,1.3
2382,DeAndre Washington,RB,OAK,155.2
1819,DeMarco Murray,RB,TEN,15.2
2350,Derrick Henry,RB,TEN,77.9
2144,Devonta Freeman,RB,ATL,7.0
1860,Dion Lewis,RB,NE,155.9
2440,Donta Foreman,RB,HOU,157.0
1907,Doug Martin,RB,TB,49.0
2285,Duke Johnson,RB,CLE,94.2
1987,Eddie Lacy,RB,SEA,106.6
2343,Ezekiel Elliott,RB,DAL,6.2
437,Frank Gore,RB,IND,86.1
1979,Giovani Bernard,RB,CIN,159.6
2219,Isaiah Crowell,RB,CLE,29.8
1827,Jacquizz Rodgers,RB,TB,95.9
1368,Jamaal Charles,RB,DEN,123.3
2445,Jamaal Williams,RB,GB,114.3
2154,James White,RB,NE,102.7
2284,Jay Ajayi,RB,PHI,13.8
2127,Jeremy Hill,RB,CIN,134.5
2438,Joe Mixon,RB,CIN,42.5
1344,Jonathan Stewart,RB,CAR,101.4
2387,Jonathan Williams,RB,NO,156.1
2384,Jordan Howard,RB,CHI,16.8
2450,Kareem Hunt,RB,KC,18.7
1908,Lamar Miller,RB,HOU,35.2
2023,Latavius Murray,RB,MIN,154.4
1781,LeGarrette Blount,RB,PHI,91.9
1645,LeSean McCoy,RB,BUF,7.8
1983,LeVeon Bell,RB,PIT,2.3
2433,Leonard Fournette,RB,JAX,27.0
1800,Mark Ingram,RB,NO,57.6
2469,Marlon Mack,RB,IND,141.3
740,Marshawn Lynch,RB,OAK,36.4
1354,Matt Forte,RB,NYJ,132.6
2282,Melvin Gordon,RB,LAC,10.1
2017,Mike Gillislee,RB,NE,65.3
2383,Paul Perkins,RB,NYG,83.4
2029,Rex Burkhead,RB,NE,113.4
2429,Rob Kelley,RB,WAS,67.0
2441,Samaje Perine,RB,WAS,126.8
2139,Terrance West,RB,BAL,86.8
2289,Tevin Coleman,RB,ATL,73.2
2033,Theo Riddick,RB,DET,83.0
2337,Thomas Rawls,RB,SEA,95.7
2280,Todd Gurley,RB,LAR,19.4
2317,Ty Montgomery,RB,GB,32.6
2385,Wendell Smallwood,RB,PHI,146.1
